Binary,Char,Value,Hex
01010100,T,+--++0,54
01010101,U,--+0++,55
01010110,V,--++0+,56
01010111,W,--+++0,57
01011000,X,--0+++,58
01011001,Y,-0-+++,59
01011010,Z,0--+++,5A
01011011,[,0--0++,5B
01011100,\,+--0++,5C
01011101,],-000++,5D
01011110,^,0+++--,5E
01011111,_,0++-00,5F
01100000,`,0++0-0,60
01100001,a,+0+-00,61
01100010,b,+0+0-0,62
01100011,c,+0+00-,63
01100100,d,0++00-,64
01100101,e,++0-00,65
01100110,f,++00-0,66
01100111,g,++000-,67
01101000,h,0++-+-,68
01101001,i,+0++--,69
01101010,j,+0+-+-,6A
01101011,k,+0+--+,6B
01101100,l,0++--+,6C
01101101,m,++0+--,6D
01101110,n,++0-+-,6E
01101111,o,++0--+,6F
01110000,p,000++-,70
01110001,q,000+-+,71
01110010,r,000-++,72
01110011,s,000+00,73
01110100,t,000+0-,74
01110101,u,000+-0,75
01110110,v,000-0+,76
01110111,w,000-+0,77
01111000,x,+++--0,78
01111001,y,+++-0-,79
01111010,z,+++0--,7A
01111011,{,0++0--,7B
01111100,|,-00-++,7C
01111101,},-00+00,7D
01111110,~,+---++,7E
01111111,DEL,+--+00,7F
10000000,,-00+-+,80
10000001,,0-0-++,81
10000010,,0-0+-+,82
10000011,,0-0++-,83
10000100,,-00++-,84
10000101,,00--++,85
10000110,,00-+-+,86
10000111,,00-++-,87
10001000,,-000+0,88
10001001,,0-0+00,89
10001010,,0-00+0,8A
10001011,,0-000+,8B
10001100,,-0000+,8C
10001101,,00-+00,8D
10001110,,00-0+0,8E
10001111,,00-00+,8F
10010000,,+--+-+,90
10010001,,-+--++,91
10010010,,-+-+-+,92
10010011,,-+-++-,93
10010100,,+--++-,94
10010101,,--+-++,95
10010110,,--++-+,96
10010111,,--+++-,97
10011000,,+--0+0,98
10011001,,-+-+00,99
10011010,,-+-0+0,9A
10011011,,-+-00+,9B
10011100,,+--00+,9C
10011101,,--++00,9D
10011110,,--+0+0,9E
10011111,,--+00+,9F
10100000,,-++0-0,A0
10100001,,+-+-00,A1
10100010,,+-+0-0,A2
10100011,,+-+00-,A3
10100100,,-++00-,A4
10100101,,++--00,A5
10100110,,++-0-0,A6
10100111,,++-00-,A7
10101000,,-++-+-,A8
10101001,,+-++--,A9
10101010,,+-+-+-,AA
10101011,,+-+--+,AB
10101100,,-++--+,AC
10101101,,++-+--,AD
10101110,,++--+-,AE
10101111,,++---+,AF
10110000,,+000-0,B0
10110001,,0+0-00,B1
10110010,,0+00-0,B2
10110011,,0+000-,B3
10110100,,-0000-,B4
10110101,,00+-00,B5
10110110,,00+0-0,B6
10110111,,00+00-,B7
10111000,,+00-+-,B8
10111001,,0+0+--,B9
10111010,,0+0-+-,BA
10111011,,0+0--+,BB
10111100,,+00--+,BC
10111101,,00++--,BD
10111110,,00+-+-,BE
10111111,,00+--+,BF
11000000,,-+0+-+,C0
11000001,,0-+-++,C1
11000010,,0-++-+,C2
11000011,,0-+++-,C3
11000100,,-+0++-,C4
11000101,,+0--++,C5
11000110,,+0-+-+,C6
11000111,,+0-++-,C7
11001000,,-+00+0,C8
11001001,,0-++00,C9
11001010,,0-+0+0,CA
11001011,,0-+00+,CB
11001100,,-+000+,CC
11001101,,+0-+00,CD
11001110,,+0-0+0,CE
11001111,,+0-00+,CF
11010000,,+-0+-+,D0
11010001,,0+--++,D1
11010010,,0+-+-+,D2
11010011,,0+-++-,D3
11010100,,+-0++-,D4
11010101,,-0+-++,D5
11010110,,-0++-+,D6
11010111,,-0+++-,D7
11011000,,+-00+0,D8
11011001,,0+-+00,D9
11011010,,0+-0+0,DA
11011011,,0+-00+,DB
11011100,,+-000+,DC
11011101,,-0++00,DD
11011110,,-0+0+0,DE
11011111,,-0+00+,DF
11100000,,-++0-+,E0
11100001,,+--++0,E1
11100010,,+-+0-+,E2
11100011,,+-++0-,E3
11100100,,-+++0-,E4
11100101,,++--+0,E5
11100110,,++-0-+,E6
11100111,,++-+0-,E7
11101000,,-++0+-,E8
11101001,,+-++-0,E9
11101010,,+-+0+-,EA
11101011,,+-+-0+,EB
11101100,,-++-0+,EC
11101101,,++-+-0,ED
11101110,,++-0+-,EE
11101111,,++--0+,EF
11110000,,+000-+,F0
11110001,,0+0-+0,F1
11110010,,0+00-+,F2
11110011,,0+0+0-,F3
11110100,,+00+0-,F4
11110101,,00+-+0,F5
11110110,,00+0-+,F6
11110111,,00++0-,F7
11111000,,+000+-,F8
11111001,,0+0+-0,F9
11111010,,0+00+-,FA
11111011,,0+0-0+,FB
11111100,,+00-0+,FC
11111101,,00++-0,FD
11111110,,00+0+-,FE
11111111,,00+-0+,FF
